"Version","Class","Domain","Variable Order","CDASH Variable","CDASH Variable Label","DRAFT CDASH Definition","Domain Specific","Question Text","Prompt","Type","SDTM Target","Mapping Instructions","Controlled Terminology Codelist Code","Implementation Notes"
"CDASH Model v1.3","Interventions",,"11","--REASND","Reason Not Done","An explanation of why data are not available.",,"What [is/was] the reason that the [Interventions topic/data/information/sponsor-defined phrase] was not [collected/answered/done/assessed/evaluated/available]?","Reason Not [Collected/Answered/Done/Assessed/Evaluated/Available]","Char","--REASND","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology may be used. The reason the data are not available may be chosen from a sponsor-defined codelist (e.g., broken equipment, subject refused) or entered as free text. When --REASND is used, --STAT should also be populated in the SDTM dataset."
"CDASH Model v1.3","Interventions",,"12","--INDC","Indication","The condition, disease, symptom, or disorder that the intervention was used to address or investigate (e.g., why the therapy was taken or administered, why the procedure was performed).",,"For what indication was the [--TRT] [taken/performed/administered/consumed]?","Indication","Char","--INDC","Maps directly to the SDTM variable listed in the SDTM Target column.","","This additional information is collected on the CRF when the sponsor wants to capture the indication(s)/medical problem(s) why a subject took/had an intervention. This information can then be used as deemed appropriate for coding, analysis, or for reconciling the interventions as part of the data clean-up and monitoring process."
"CDASH Model v1.3","Interventions",,"13","--DOSE","Dose","The amount of substance (e.g., --TRT) given at one time, represented as a numeric value.",,"What [is/ was] the (individual) (intended) [dose/amount] (of [--TRT] [taken/performed/administered/consumed/per administration])?","(Intended) [Dose/Amount] (per Administration)","Num","--DOSE","Maps directly to the SDTM variable listed in the SDTM Target column.","","Used when the dose/amount taken/administered/consumed has only numeric entries. If non-numeric entries are possible, use the CDASH field --DSTXT."
"CDASH Model v1.3","Interventions",,"14","--DSTXT","Dose Description","The amount of substance (e.g., --TRT) given at one time, represented in text format.",,"What [is/was] the (individual) (intended) [dose/amount] (of [--TRT] [taken/performed/administered/consumed/per administration])?","(Intended) [Dose/Amount] (per Administration)","Char","--DOSE; --DOSTXT","Does not directly map to SDTM. Maps to either --DOSE or DOSTXT.","","Defining this data collection field as a dose text field allows for flexibility in capturing dose entries as numbers, text, or ranges."
"CDASH Model v1.3","Interventions",,"15","--DOSU","Dose Units","The unit for --DOSE, --DOSTOT, or --DOSTXT.",,"What [is/was] the unit (for the dose/amount of [--TRT])?","([Dose/Amount]) Unit","Char","--DOSU","Maps directly to the SDTM variable listed in the SDTM Target column.","C71620","When possible, this is preprinted on the CRF with the associated treatment. Dose unit may be derived via other methods (e.g., from protocol, from data). When collected, the unit is preprinted on the CRF or a field is provided on the CRF to capture it."
"CDASH Model v1.3","Interventions",,"16","--DOSFRM","Dose Form","The form in which --TRT is physically presented.",,"What [is/was] the dose form (of the [--TRT])?","Dose Form","Char","--DOSFRM","Maps directly to the SDTM variable listed in the SDTM Target column.","C66726",
"CDASH Model v1.3","Interventions",,"17","--DOSFRQ","Dosing Frequency per Interval","The number of doses given/administered/taken during a specific interval.",,"What [is/was] the frequency (of the [--TRT])?","Frequency","Char","--DOSFRQ","Maps directly to the SDTM variable listed in the SDTM Target column.","C71113","When possible, the options for dose/amount frequency are preprinted on the CRF. When collected, the recommendation is to collect dosing information in separate fields (e.g., --DOSE ,--DOSEU,--DOSFRQ) for specific and consistent data collection and to enable programmatically utilizing these data."
"CDASH Model v1.3","Interventions",,"18","--DOSTOT","Total Daily Dose","The total amount of --TRT taken over a day, using the units in --DOSU.",,"What [is/was] the total [dose/amount] (of the [--TRT/Intervention] [taken/performed/administered/consumed])?","Total Daily [Dose/Amount]","Num","--DOSTOT","Maps directly to the SDTM variable listed in the SDTM Target column.","","Used when dosing is collected as total daily dose"
"CDASH Model v1.3","Interventions",,"19","--DOSRGM","Intended Dose Regimen","The text description of the intended dosing schedule for the administration of the intervention.",,"What [is/was] the intended dose regimen (of the [--TRT])?","Intended Dose Regimen","Char","--DOSRGM","Maps directly to the SDTM variable listed in the SDTM Target column.","","When possible, the options for intended dose regimen are preprinted on the CRF. The sponsor may wish to create a codelist to collect this data consistently. Example: TWO WEEKS ON, TWO WEEKS OFF."
"CDASH Model v1.3","Interventions",,"20","--ROUTE","Route of Administration","The route of administration of the intervention.",,"What [is/was] the route of administration (of the [--TRT])?","Route","Char","--ROUTE","Maps directly to the SDTM variable listed in the SDTM Target column.","C66729",
"CDASH Model v1.3","Interventions",,"21","--LOT","Lot Number","Lot number of the intervention product.",,"What [is/was] the lot number (of the [--TRT])?","Lot Number","Char","--LOT","Maps directly to the SDTM variable listed in the SDTM Target column.","","The lot number identifies the manufacturing batch of the intervention product. In open-label studies, the reference number on the product container may represent an actual lot number and should be submitted using --LOT. This variable may be populated during the process of creating the SDTM submission datasets. Do not collect other identification variables in this field."
"CDASH Model v1.3","Interventions",,"22","--LOC","Location of Dose Administration","The anatomical location of an intervention (e.g., injection site).",,"What [is/was] the anatomical location (of the administration/where the [intervention] was taken/performed)?","Anatomical Location","Char","--LOC","Maps directly to the SDTM variable listed in the SDTM Target column.","C74456","This may be preprinted or collected. --LOC is used only to specify the anatomical location. --LAT, --DIR, --PORTOT are used to further describe the anatomical location."
"CDASH Model v1.3","Interventions",,"23","--LAT","Laterality","Qualifier for anatomical location further detailing side of intervention administration.",,"What [is/was] the side (of the anatomical location of the administration)?","Side","Char","--LAT","Maps directly to the SDTM variable listed in the SDTM Target column.","C99073","Further detailing the laterality of the location where the --TRT was administered/taken. This may be preprinted or collected. Sponsors may collect the data using a subset list of CT on the CRF."
"CDASH Model v1.3","Interventions",,"24","--DIR","Directionality","Qualifier further detailing the position of the anatomical location relative to the center of the body, organ, or specimen.",,"What [is/was] the directionality (of the anatomical location of the administration)?","Directionality","Char","--DIR","Maps directly to the SDTM variable listed in the SDTM Target column.","C99074","Further detailing the directionality of the location where the --TRT was administered/taken (e.g., ANTERIOR, LOWER, PROXIMAL). This may be preprinted or collected. Sponsors may collect the data using a subset list of CT on the CRF."
"CDASH Model v1.3","Interventions",,"25","--PORTOT","Portion or Totality","Qualifier for anatomical location further detailing the distribution (i.e., arrangement of, apportioning of).",,"What [is/was] the portion or totality (of the anatomical location of the administration)?","Portion or Totality","Char","--PORTOT","Maps directly to the SDTM variable listed in the SDTM Target column.","C99075","Further detailing the portion or totality of the location where the --TRT was administered/taken. This may be preprinted or collected."
"CDASH Model v1.3","Interventions",,"26","--FAST","Fasting Status","An indication that the subject has abstained from food/water for the specified amount of time.",,"[Is/was] the subject fasting (prior to study treatment [being taken/administered/given])?","Fasting","Char","--FAST","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742",
"CDASH Model v1.3","Interventions",,"27","--PSTRG","Pharmaceutical Strength","The amount of an active ingredient expressed quantitatively per dosage unit, per unit of volume, or per unit of weight, according to the pharmaceutical dose form.",,"What [is/was] the pharmaceutical strength (of the [--TRT])?","Pharmaceutical Strength","Num","--PSTRG","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Interventions",,"28","--PSTRGU","Pharmaceutical Strength Units","The unit for --PSTRG.",,"What [is/was] the unit (of the pharmaceutical strength (of the [--TRT]))?","Unit","Char","--PSTRGU","Maps directly to the SDTM variable listed in the SDTM Target column.","C71620","The unit is preprinted on the CRF or a field is provided on the CRF to capture it."
"CDASH Model v1.3","Interventions",,"29","--TRTV","Treatment Vehicle","The vehicle for administration of treatment (e.g., a liquid in which the treatment drug is dissolved).",,"What [is/was] the vehicle for administration of the [--TRT]?","Treatment Vehicle","Char","--TRTV","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Interventions",,"30","--VAMT","Treatment Vehicle Amount","The amount of the prepared product (treatment + vehicle) administered or given.",,"What [is/was] the amount (of the prepared product (treatment + vehicle) [administered/taken])?","Treatment + Vehicle Amount","Char","--VAMT","Maps directly to the SDTM variable listed in the SDTM Target column.","","Note: Should not be diluent amount alone"
"CDASH Model v1.3","Interventions",,"31","--VAMTU","Treatment Vehicle Amount Units","The unit of measurement for the prepared product (treatment + vehicle).",,"What [is/was] the unit?","Unit","Char","--VAMTU","Maps directly to the SDTM variable listed in the SDTM Target column.","C71620","The unit is preprinted on the CRF or a field is provided on the CRF to capture it."
"CDASH Model v1.3","Interventions",,"32","--FLRT","[ --TRT] Infusion Rate","The flow rate for the total amount of drug + vehicle administered to the subject.",,"What [is/was] the ([--TRT] infusion) rate?","([--TRT] Infusion) Rate","Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""-- FLRT"" and SUPP--.QLABEL = ""Infusion Rate"". Refer to the current SDTM and SDTMIG for instructions on placement of non-standard variables (NSVs) in SDTM domains.","","Infusion rate can be used to derive dose."
"CDASH Model v1.3","Interventions",,"33","--FLRTU","[--TRT] Infusion Rate Unit","The unit of measure for the flow rate for the total amount of drug + vehicle administered to the subject.",,"What [is/was] the ([--TRT] infusion rate) unit?","([ --TRT ] Infusion Rate) Unit","Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM= ""--FLRTU"" and SUPP.QLABEL= ""Infusion Rate Unit"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","C71620","The infusion rate unit (e.g., mL/min) is preprinted on the CRF or a field is provided on the CRF to capture it."
"CDASH Model v1.3","Interventions",,"34","--ADJ","Reason for Dose Adjustment","Description of or explanation for why a dose/amount of the intervention is adjusted.",,"What [is/was] the reason the (study treatment/procedure) [dose/amount] was adjusted?","Reason Adjusted","Char","--ADJ","Maps directly to the SDTM variable listed in the SDTM Target column.","","The implementer may choose to create sponsor-defined controlled terminology (e.g., Adverse Event, Insufficient Response, Nonmedical Reason)."
"CDASH Model v1.3","Interventions",,"35","--DOSADJ","Dose Adjusted","An indication whether or not the dose was adjusted.",,"[Is/was] the (study treatment/procedure) [dose/amount] adjusted?","(Dose) Adjusted","Char",,"Does not map to an SDTM variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED. If the Reason for Dose Adjustment is not collected, the sponsor might chose to submit this as a supplemental qualifier.","C66742","Typically, the intent/purpose of collecting this field is to help with data cleaning and monitoring. It provides verification that the associated field on the CRF was deliberately left blank. However, the sponsor may collect whether the intervention was adjusted, without collecting the reason for the change."
"CDASH Model v1.3","Interventions",,"36","--ITRPYN","Intervention Interrupted","An indication whether or not the intervention was interrupted.",,"[Is/was] the [--TRT/Intervention] interrupted?","[--TRT/Intervention] Interrupted","Char",,"Does not map to an SDTM variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","C66742","The intent/purpose of collecting this field is to help with data cleaning and monitoring when the actual duration of the interruption is collected using the CDASH field --CINTD. In some situations, if the actual duration of the interruption is not collected, or not derived, this information could be submitted in a SUPP--.QVAL dataset where SUPP--.QNAM = ""--ITRPYN"" and SUPP--.QLABEL = ""Intervention Interrupted""."
"CDASH Model v1.3","Interventions",,"37","--REASOC","Reason for Occur Value","An explanation for why the scheduled intervention did or did not occur.",,"What [is/was] the reason the [intervention topic] was [(not) [performed/taken/done/administered]]? What [is/was] the reason for the [intervention topic] occur value?","Reason (Not) [Performed/Taken/Done/Administered/Occur Value]","Char","--REASOC","Maps directly to the SDTM variable listed in the SDTM Target column.","","The reason the intervention did or did not occur may be chosen from a sponsor-defined codelist (e.g., SUBJECT MISTAKE, SUBJECT REFUSED) or entered as free text. When --REASOC is used, --OCCUR must also be populated."
"CDASH Model v1.3","Interventions",,"38","--ITRPRS","Reason Intervention Interrupted","An indication why the intervention was interrupted.",,"Why was the [--TRT/Intervention] interrupted?","Reason [--TRT/Intervention] Interrupted","Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--ITRPRS"" and SUPP--.QLABEL =""Reason Intervention Interrupted"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","","This CDASH field is use to collected the reason an intervention was interrupted. Sponsors may define their own controlled terminology."
"CDASH Model v1.3","Interventions",,"39","--CINTD","Interruption Duration","The collected duration of the intervention interruption.",,"What was the duration of the [--TRT/Intervention] interruption?; How long was the [--TRT/Intervention] interruption?","(Interruption) Duration","Char","QVAL","This does not map directly to an SDTM variable. This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--ITRPD"" and SUPP--.QLABEL= ""Interruption Duration"". Concatenate the collected intervention interruption duration and the duration unit components and create --ITRPD using ISO 8601 period format. Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","","This CDASH field is use to collected the duration of an intervention interruption. In some situations, the duration of the interruption may not be collected but calculated from the intervention start and end times recorded elsewhere in the CRF."
"CDASH Model v1.3","Interventions",,"40","--CINTDU","Interruption Duration Unit","The unit for the collected duration of intervention interruption.",,"What [is/was] the (interruption duration) unit?","(Interruption Duration) Unit","Char","QVAL","This does not map directly to an SDTM variable. This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--ITRPD"" and SUPP--.QLABEL= ""Interruption Duration"". Concatenate the collected intervention interruption duration and the duration unit components and create --ITRPD using ISO 8601 Period format. Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","C71620","The unit is preprinted on the CRF or a field is provided on the CRF to capture it."
"CDASH Model v1.3","Interventions",,"41","--TRTCMP","Completed Treatment","An indication of whether or not the subject completed the intended regimen.",,"Did the subject complete [treatment/ the full course/sponsor provided phrase] (of the [--TRT/Intervention])?","Completed [--TRT/Intervention]","Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--TRTCMP"" and SUPP--.QLABEL =""Completed Treatment"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","C66742","This could be used when treatment is given as a fixed number of cycles and the sponsor needs a flag to indicate that the treatment has been completed as planned."
"CDASH Model v1.3","Interventions",,"42","--NCF","Never Current Former Usage","An indication of whether the substance was used and when it was used.",,"Has the subject ever [used/consumed] [--TRT/Intervention]?","Usage","Char","--ENRF; --ENRTPT; --OCCUR; --STRF; --STRTPT","This does not map directly to an SDTM variable. May be used to populate a value into the SDTM variable --OCCUR. If --NCF = ""Never"", the value of --OCCUR will be ""N"". If --NCF = ""Current"" or ""Former"", the value of --OCCUR will be ""Y"". May also be used to populate a value into an SDTM relative timing variable such as --STRTPT or --STRF. If the value of --NCF is ""Former"", the value of """"BEFORE"" may be used. If the value of --NCF is ""current"", the value of ""ONGOING"" may be used. When populating --STRTPT, if the value of --NCF is ""Former"", the value of ""BEFORE"" may be used. Note: --STRTPT must refer to a time point anchor described in --STTPT. This variable may also be used to populate the SDTM ending relative timing variables.","C78738","The preferred SDTM mapping is provided. This information is usually not submitted in a SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"43","--ONGO","Ongoing Intervention","An indication whether the intervention is ongoing as of a given timepoint when no end date is provided.",,"[Is/Was] the [--TRT/Intervention] ongoing (as of [the study-specific timepoint or period])?","Ongoing (as of the [Study-Specific Timepoint or Period])","Char","--ENRF; --ENRTPT","This does not map directly to an SDTM variable. May be used to populate a value into an SDTM relative timing variable such as --ENRF or --ENRTPT. When populating --ENRF, or --ENRTPT, if the value of the CDASH field --ONGO is ""Y"" a value from the CDISC CT (STENRF) may be used. When --ONGO refers to the Study Reference Period (defined in DM.RFSTDTC to DM.RFENDTC), the SDTM variable --ENRF should be populated. When --ONGO is compared to another timepoint, the SDTM variables --ENRTPT and --ENTPT should be used. Note: --ENRTPT must refer to the time point anchor described in --ENTPT.","C66742","The CDASH field --ONGO allows specific question text/prompt about interventions ending after the study or after a given timepoint. Select the appropriate text when designing the CRF. This may also be included in the CRF title or instructions. Used in conjunction with either a reference timepoint (--ENTPT, --ENRTPT) or in conjunction with the Study Reference Period (described as RFSTDTC to RFENDTC). May also be used as a tick/checkbox. See CDASHIG Section 3.7 for more information."
"CDASH Model v1.3","Interventions",,"44","COVAL","Comment","A free-text comment.",,"[Protocol-specified Targeted Question]?","[Abbreviated version of the protocol-specified targeted question]","Char","COVAL","This does not map directly to an SDTM variable. For the SDTM dataset, the CDASH variable --COVAL maps to the SDTM variable COVAL (COVAL2, COVAL3) in the CO domain. Associate the free-text comment in the CO domain with the original record using RDOMAIN, IDVAR, IDVARVAL, COREF.","","If an additional free-text field is needed to provide a comment about a particular record, use the COVAL(n) field to collect the free text, and associate the free-text comment with the original record using SDTM variables RDOMAIN, IDVAR, IDVARVAL, COREF. See the SDTMIG for more information."
"CDASH Model v1.3","Interventions",,"45","--MODIFY","Modified Treatment Name","If the value for --TRT is modified for coding purposes, then the modified text is placed here.",,,,"Char","--MODIFY","Maps directly to the SDTM variable listed in the SDTM Target column.","","This is not a data collection field that will appear on the CRF. Sponsors will populate this through the coding process. Rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Interventions",,"46","--CLAS","Class","The class for the intervention, often obtained from a coding dictionary.",,,,"Char","--CLAS","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code interventions, using Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","This is not a data collection field that will appear on the CRF itself. Sponsors will populate this through the coding process (e.g., WHO Drug). This would generally be the class used for analysis."
"CDASH Model v1.3","Interventions",,"47","--CLASCD","Class Code","The assigned dictionary code for the class for the intervention.",,,,"Char","--CLASCD","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code interventions,, using Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","This is not a data collection field that will appear on the CRF itself. Sponsors will populate this through the coding process (e.g., WHO Drug). This would generally be the class used for analysis."
"CDASH Model v1.3","Interventions",,"48","--CNTMOD","Contact Mode","The way in which the event, visit, or contact was conducted.",,"What was the contact mode?","Contact Mode","Char","--CNTMOD","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Interventions",,"49","--EPCHGI","Epi/Pandemic Related Change Indicator","An indication whether the intervention was changed due to an epidemic or pandemic.",,"Was the [intervention/treatment] changed due to an epidemic or pandemic?","Epi/Pandemic Related Change Indicator","Char","--EPCHGI","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742",
"CDASH Model v1.3","Interventions",,"50","--RSDISC","Reason for Treatment Discontinuation","The reason the intervention was discontinued.",,"What was the reason the [intervention/treatment] was discontinued?","Reason for [intervention/treatment] Discontinuation","Char","--RSDISC","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Interventions",,"51","--ATC1","ATC Level 1 Description","The first level of hierarchy within the Anatomical Therapeutic Chemical (ATC) Classification System; indicates the anatomical main group.",,,,"Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM= ""--ATC1"" and SUPP--QLABEL= ""ATC Level 1 Description"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin column in the SUPPQ dataset to indicate that the data was ""ASSIGNED"".","","This is not a data collection field that will appear on the CRF itself. Sponsors will populate this through the coding process (e.g., WHO Drug). Rationale for adding coding variables to CDASH is to provide a more complete data management package. This is an example of variables that could be used in the CM domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"52","--ATC1CD","ATC Level 1 Code","The assigned dictionary code denoting the first level of hierarchy within the ATC Classification System; indicates the anatomical main group.",,,,"Num","QVAL","This information could be submitted in a SUPP--dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--ATC1CD"" and SUPP--.QLABEL=""ATC Level 1 Code"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin column in the SUPPQ dataset to indicate that the data was ""ASSIGNED"".","","This is not a data collection field that will appear on the CRF itself. Sponsors will populate this through the coding process (e.g., WHO Drug). Rationale for adding coding variables to CDASH is to provide a more complete data management package. This is an example of variables that could be used in the CM domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"53","--ATC2","ATC Level 2 Description","The second level of hierarchy within the ATC Classification System; indicates the therapeutic main group.",,,,"Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM = --ATC2 and SUPP--QLABEL=""ATC Level 2 Description"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin column in the SUPPQ dataset to indicate that the data was ""ASSIGNED"".","","This is not a data collection field that will appear on the CRF itself. Sponsors will populate this through the coding process (e.g., WHO Drug). Rationale for adding coding variables to CDASH is to provide a more complete data management package. This is an example of variables that could be used in the CM domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
